symbol,company_name,sector,yahoo_symbol,currency
ALMONDZ,Almondz Global Securities Limited,Unclassified,ALMONDZ.NS,INR
ALOKINDS,Alok Industries Limited,Unclassified,ALOKINDS.NS,INR
ALPA,Alpa Laboratories Limited,Unclassified,ALPA.NS,INR
ALPHAGEO,Alphageo (India) Limited,Unclassified,ALPHAGEO.NS,INR
AMAGI,Amagi Media Labs Limited,Unclassified,AMAGI.NS,INR
AMANTA,Amanta Healthcare Limited,Unclassified,AMANTA.NS,INR
AMBER,Amber Enterprises India Limited,Unclassified,AMBER.NS,INR
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,Unclassified,AMBICAAGAR.NS,INR
AMBIKCO,Ambika Cotton Mills Limited,Unclassified,AMBIKCO.NS,INR
AMBUJACEM,Ambuja Cements Limited,Unclassified,AMBUJACEM.NS,INR
AMDIND,AMD Industries Limited,Unclassified,AMDIND.NS,INR
AMJLAND,Amj Land Holdings Limited,Unclassified,AMJLAND.NS,INR
AMNPLST,Amines & Plasticizers Limited,Unclassified,AMNPLST.NS,INR
AMRUTANJAN,Amrutanjan Health Care Limited,Unclassified,AMRUTANJAN.NS,INR
ANANDRATHI,Anand Rathi Wealth Limited,Unclassified,ANANDRATHI.NS,INR
ANANTRAJ,Anant Raj Limited,Unclassified,ANANTRAJ.NS,INR
ANDHRAPAP,ANDHRA PAPER LIMITED,Unclassified,ANDHRAPAP.NS,INR
ANDHRSUGAR,The Andhra Sugars Limited,Unclassified,ANDHRSUGAR.NS,INR
ANGELONE,Angel One Limited,Unclassified,ANGELONE.NS,INR
ANIKINDS,Anik Industries Limited,Unclassified,ANIKINDS.NS,INR
ANKITMETAL,Ankit Metal & Power Limited,Unclassified,ANKITMETAL.NS,INR
ANMOL,Anmol India Limited,Unclassified,ANMOL.NS,INR
ANSALAPI,Ansal Properties & Infrastructure Limited,Unclassified,ANSALAPI.NS,INR
ANTELOPUS,Antelopus Selan Energy Limited,Unclassified,ANTELOPUS.NS,INR
ANTGRAPHIC,Antarctica Limited,Unclassified,ANTGRAPHIC.NS,INR
ANTHEM,Anthem Biosciences Limited,Unclassified,ANTHEM.NS,INR
ANUHPHR,Anuh Pharma Limited,Unclassified,ANUHPHR.NS,INR
ANUP,The Anup Engineering Limited,Unclassified,ANUP.NS,INR
ANURAS,Anupam Rasayan India Limited,Unclassified,ANURAS.NS,INR
APARINDS,Apar Industries Limited,Unclassified,APARINDS.NS,INR
APCL,Anjani Portland Cement Limited,Unclassified,APCL.NS,INR
