symbol,company_name,sector,yahoo_symbol,currency
SKPMIL,Shree Krishna Paper Mills & Industries Ltd,Unclassified,SKPMIL.BO,INR
SILVERLINE,Silverline Technologies Ltd,Unclassified,SILVERLINE.BO,INR
RELINFRA,Reliance Infrastructure Ltd,Unclassified,RELINFRA.BO,INR
TATAPOWER,Tata Power Company Ltd,Unclassified,TATAPOWER.BO,INR
SPMLINFRA,SPML Infra Ltd,Unclassified,SPMLINFRA.BO,INR
SUNDRMFAST,Sundram Fasteners Ltd,Unclassified,SUNDRMFAST.BO,INR
SUNFLAG,Sunflag Iron & Steel Company Ltd,Unclassified,SUNFLAG.BO,INR
SPLPETRO,Supreme Petrochem Ltd,Unclassified,SPLPETRO.BO,INR
SWARAJENG,Swaraj Engines Ltd,Unclassified,SWARAJENG.BO,INR
TATAELXSI,Tata Elxsi Ltd,Unclassified,TATAELXSI.BO,INR
ACC,ACC Ltd,Unclassified,ACC.BO,INR
THERMAX,Thermax Ltd,Unclassified,THERMAX.BO,INR
TIRUMALCHM,Thirumalai Chemicals Ltd,Unclassified,TIRUMALCHM.BO,INR
THOMASCOOK,Thomas Cook (India) Ltd,Unclassified,THOMASCOOK.BO,INR
TIMEX,Timex Group India Ltd,Unclassified,TIMEX.BO,INR
TOKYOPLAST,Tokyo Plast International Ltd,Unclassified,TOKYOPLAST.BO,INR
TORNTPHARM,Torrent Pharmaceuticals Ltd,Unclassified,TORNTPHARM.BO,INR
TPINDIA,TPI India Ltd,Unclassified,TPINDIA.BO,INR
TRANSCHEM,Transchem Ltd,Unclassified,TRANSCHEM.BO,INR
AMBUJACEM,Ambuja Cements Ltd,Unclassified,AMBUJACEM.BO,INR
UTLINDS,UTL Industries Ltd,Unclassified,UTLINDS.BO,INR
UNIENTER,Uniphos Enterprises Ltd,Unclassified,UNIENTER.BO,INR
VHL,Vardhman Holdings Ltd,Unclassified,VHL.BO,INR
HINDALCO,Hindalco Industries Ltd,Unclassified,HINDALCO.BO,INR
WSTCSTPAPR,West Coast Paper Mills Ltd,Unclassified,WSTCSTPAPR.BO,INR
HOCL,Hindustan Organic Chemicals Ltd,Unclassified,HOCL.BO,INR
MPILCORPL,MPIL Corporation Ltd,Unclassified,MPILCORPL.BO,INR
PASUPTAC,Pasupati Acrylon Ltd,Unclassified,PASUPTAC.BO,INR
TEAM24,Team24 Consumer Products Ltd,Unclassified,TEAM24.BO,INR
PGHH,Procter & Gamble Hygiene and Health Care Ltd,Unclassified,PGHH.BO,INR
MUKANDLTD,Mukand Ltd,Unclassified,MUKANDLTD.BO,INR
BBOX,Black Box Ltd,Unclassified,BBOX.BO,INR
UCAL,Ucal  Ltd,Unclassified,UCAL.BO,INR
HARRMALAYA,Harrisons Malayalam Ltd,Unclassified,HARRMALAYA.BO,INR
FEDERALBNK,Federal Bank Ltd,Unclassified,FEDERALBNK.BO,INR
TATASTEEL,Tata Steel Ltd,Unclassified,TATASTEEL.BO,INR
SKFINDIA,SKF India Ltd,Unclassified,SKFINDIA.BO,INR
ASHOKLEY,Ashok Leyland Ltd,Unclassified,ASHOKLEY.BO,INR
CUMMINSIND,Cummins India Ltd,Unclassified,CUMMINSIND.BO,INR
TATACOMM,Tata Communications Ltd,Unclassified,TATACOMM.BO,INR
ABBOTINDIA,Abbott India Ltd,Unclassified,ABBOTINDIA.BO,INR
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Unclassified,BAJAJHLDNG.BO,INR
BHARATFORG,Bharat Forge Ltd,Unclassified,BHARATFORG.BO,INR
ESCORTS,Escorts Kubota Ltd,Unclassified,ESCORTS.BO,INR
HINDMOTORS,Hindustan Motors Ltd,Unclassified,HINDMOTORS.BO,INR
LT,Larsen & Toubro Ltd,Unclassified,LT.BO,INR
M&M,Mahindra & Mahindra Ltd,Unclassified,M&M.BO,INR
BOSCHLTD,Bosch Ltd,Unclassified,BOSCHLTD.BO,INR
PREMIER,Premier Ltd,Unclassified,PREMIER.BO,INR
BPCL,Bharat Petroleum Corporation Ltd,Unclassified,BPCL.BO,INR
SIEMENS,Siemens Ltd,Unclassified,SIEMENS.BO,INR
TMPV,Tata Motors Passenger Vehicles Ltd,Unclassified,TMPV.BO,INR
VOLTAS,Voltas Ltd,Unclassified,VOLTAS.BO,INR
GESHIP,Great Eastern Shipping Company Ltd,Unclassified,GESHIP.BO,INR
DEEPAKFERT,Deepak Fertilisers & Petrochemicals Corporation Ltd,Unclassified,DEEPAKFERT.BO,INR
EXCELINDUS,Excel Industries Ltd,Unclassified,EXCELINDUS.BO,INR
GRWRHITECH,Garware Hi-Tech Films Ltd,Unclassified,GRWRHITECH.BO,INR
GLAXO,GlaxoSmithKline Pharmaceuticals Ltd,Unclassified,GLAXO.BO,INR
GNFC,Gujarat Narmada Valley Fertilizers & Chemicals Ltd,Unclassified,GNFC.BO,INR
NOVARTIND,Novartis India Ltd,Unclassified,NOVARTIND.BO,INR
SANOFI,Sanofi India Ltd,Unclassified,SANOFI.BO,INR
PFIZER,Pfizer Ltd,Unclassified,PFIZER.BO,INR
GSFC,Gujarat State Fertilizers & Chemicals Ltd,Unclassified,GSFC.BO,INR
HINDUNILVR,Hindustan Unilever Ltd,Unclassified,HINDUNILVR.BO,INR
AKZOINDIA,Akzo Nobel India Ltd,Unclassified,AKZOINDIA.BO,INR
NOCIL,NOCIL Ltd,Unclassified,NOCIL.BO,INR
TATACHEM,Tata Chemicals Ltd,Unclassified,TATACHEM.BO,INR
TNPETRO,Tamilnadu Petroproducts Ltd,Unclassified,TNPETRO.BO,INR
ZUARIIND,Zuari Industries Ltd,Unclassified,ZUARIIND.BO,INR
NESTLEIND,Nestle India Ltd,Unclassified,NESTLEIND.BO,INR
TATACONSUM,Tata Consumer Products Ltd,Unclassified,TATACONSUM.BO,INR
ASIANPAINT,Asian Paints Ltd,Unclassified,ASIANPAINT.BO,INR
BRITANNIA,Britannia Industries Ltd,Unclassified,BRITANNIA.BO,INR
COLPAL,Colgate Palmolive (India) Ltd,Unclassified,COLPAL.BO,INR
EIHOTEL,EIH Ltd,Unclassified,EIHOTEL.BO,INR
INDHOTEL,Indian Hotels Company Ltd,Unclassified,INDHOTEL.BO,INR
CASTROLIND,Castrol India Ltd,Unclassified,CASTROLIND.BO,INR
ITC,ITC Ltd,Unclassified,ITC.BO,INR
APOLLOTYRE,Apollo Tyres Ltd,Unclassified,APOLLOTYRE.BO,INR
CEATLTD,Ceat Ltd,Unclassified,CEATLTD.BO,INR
MODIRUBBER,Modi Rubber Ltd,Unclassified,MODIRUBBER.BO,INR
FINPIPE,Finolex Industries Ltd,Unclassified,FINPIPE.BO,INR
SUNRINV,Sunrise Industrial Traders Ltd,Unclassified,SUNRINV.BO,INR
ZGOLDINV,Gold Rock Investments Ltd,Unclassified,ZGOLDINV.BO,INR
DSINVEST,Dalal Street Investments Ltd,Unclassified,DSINVEST.BO,INR
CENTRUM,Centrum Capital Ltd,Unclassified,CENTRUM.BO,INR
KARTKIN,Kartik Investments Trust Ltd,Unclassified,KARTKIN.BO,INR
TCIFINANCE,TCI Finance Ltd,Unclassified,TCIFINANCE.BO,INR
ANTARIKSH,Antariksh Industries Ltd,Unclassified,ANTARIKSH.BO,INR
IITL,Industrial Investment Trust Ltd,Unclassified,IITL.BO,INR
INDPRUD,Industrial & Prudential Investment Company Ltd,Unclassified,INDPRUD.BO,INR
TATAINVEST,Tata Investment Corporation Ltd,Unclassified,TATAINVEST.BO,INR
JAYBHCR,Jayabharat Credit Ltd,Unclassified,JAYBHCR.BO,INR
PRISMX,Prismx Global Ventures Ltd,Unclassified,PRISMX.BO,INR
MOTOGENFIN,Motor & General Finance Ltd,Unclassified,MOTOGENFIN.BO,INR
RAPIDIN,Rapid Investments Ltd,Unclassified,RAPIDIN.BO,INR
WALCHPF,Walchand Peoplefirst Ltd,Unclassified,WALCHPF.BO,INR
EENTER,E & E Enterprises Ltd,Unclassified,EENTER.BO,INR
WHBRADY,WH Brady & Company Ltd,Unclassified,WHBRADY.BO,INR
TECHNVISN,TechNVision Ventures Ltd,Unclassified,TECHNVISN.BO,INR
SHAILY,Shaily Engineering Plastics Ltd,Unclassified,SHAILY.BO,INR
BBTC,The Bombay Burmah Trading Corporation Ltd,Unclassified,BBTC.BO,INR
BOMBCYC,Bombay Cycle & Motor Agency Ltd,Unclassified,BOMBCYC.BO,INR
GREAVESCOT,Greaves Cotton Ltd,Unclassified,GREAVESCOT.BO,INR
MULLER,Muller & Phipps India Ltd,Unclassified,MULLER.BO,INR
SFTL,Springform Technology Ltd,Unclassified,SFTL.BO,INR
AMALGAM,Amalgamated Electricity Company Ltd,Unclassified,AMALGAM.BO,INR
ANANDPROJ,Anand Projects Ltd,Unclassified,ANANDPROJ.BO,INR
INDIANVSH,IndiaNivesh Ltd,Unclassified,INDIANVSH.BO,INR
COASTCORP,Coastal Corporation Ltd,Unclassified,COASTCORP.BO,INR
CHOWGULSTM,Chowgule Steamships Ltd,Unclassified,CHOWGULSTM.BO,INR
GLOBOFFS,Global Offshore Services Ltd,Unclassified,GLOBOFFS.BO,INR
DHENUBUILD,Dhenu Buildcon Infra Ltd,Unclassified,DHENUBUILD.BO,INR
ASIIL,ASI Industries Ltd,Unclassified,ASIIL.BO,INR
SAGCEM,Sagar Cements Ltd,Unclassified,SAGCEM.BO,INR
DECCANCE,Deccan Cements Ltd,Unclassified,DECCANCE.BO,INR
MANGLMCEM,Mangalam Cement Ltd,Unclassified,MANGLMCEM.BO,INR
NCLIND,NCL Industries Ltd,Unclassified,NCLIND.BO,INR
SAURASHCEM,Saurashtra Cement Ltd,Unclassified,SAURASHCEM.BO,INR
SHREDIGCEM,Shree Digvijay Cement Company Ltd,Unclassified,SHREDIGCEM.BO,INR
BORORENEW,Borosil Renewables Ltd,Unclassified,BORORENEW.BO,INR
LERTHAI,Lerthai Finance Ltd,Unclassified,LERTHAI.BO,INR
